1,삼성전자,8.61%,"104,500","1,100",+1.06%,"14,530,881","104,700","105,500","104,000",21.70,9.03
2,삼성에피스홀딩스,5.45%,"549,000","107,000",+24.21%,"3,737,086","454,500","562,000","452,500",N/A,N/A
3,두산에너빌리티,4.47%,"78,400","3,400",+4.53%,"3,892,884","78,000","78,700","76,200",-493.08,1.52
4,SK하이닉스,4.46%,"552,000","6,000",-1.08%,"2,562,099","550,000","559,000","544,000",11.26,31.06
5,천일고속,4.11%,"399,000","92,000",+29.97%,"111,988","380,000","399,000","353,500",-166.74,-25.33
6,에이비엘바이오,2.26%,"201,000","1,100",+0.55%,"779,692","200,000","204,000","195,500",-380.68,-46.01
7,NAVER,1.84%,"246,500","3,500",+1.44%,"630,018","246,500","248,500","245,500",17.81,7.90
8,고영,1.83%,"28,800","1,050",+3.78%,"15,614,869","27,750","29,450","27,550",111.20,6.68
9,한화에어로스페이스,1.64%,"866,000","42,000",+5.10%,"263,660","836,000","879,000","834,000",15.83,53.94
10,한화오션,1.64%,"108,200","2,100",+1.98%,"813,697","108,400","109,000","106,700",27.33,11.52
11,인벤티지랩,1.63%,"78,300","7,800",+11.06%,"6,634,313","70,600","88,000","67,800",-36.57,-91.93
12,에코프로,1.55%,"93,400",700,-0.74%,"2,359,837","94,400","96,200","92,600",-631.08,-12.57
13,스맥,1.45%,"6,860","1,200",+21.20%,"41,043,665","6,290","7,120","5,850",84.69,18.73
14,현대건설,1.36%,"70,500","4,600",+6.98%,"3,658,332","68,200","70,900","65,800",-29.73,-2.09
15,삼성물산,1.29%,"245,500","21,000",+9.35%,"934,576","227,500","252,500","227,500",20.08,6.83
16,펩트론,1.25%,"286,000","5,500",-1.89%,"319,744","292,000","294,500","277,000",-462.04,-23.46
17,현대바이오,1.21%,"6,100",520,+9.32%,"2,963,611","5,650","6,380","5,530",-25.42,-16.36
18,노타,1.18%,"40,800","3,550",-8.00%,"7,791,229","41,500","42,450","37,400",-14.58,41.90
19,카카오,1.17%,"60,600","1,100",+1.85%,"2,238,973","59,800","61,300","59,800",115.43,0.56
20,심텍,1.15%,"57,200","5,100",+9.79%,"1,637,946","54,400","57,700","52,600",-26.94,-6.63
21,HLB,1.14%,"48,600","2,100",-4.14%,"533,605","50,000","50,200","48,500",-29.01,-16.33
22,올릭스,1.12%,"121,400","8,600",-6.62%,"969,074","130,000","130,600","121,200",-53.74,-120.11
23,현대차,1.11%,"266,500",500,+0.19%,"483,994","266,500","267,500","263,000",6.70,12.43
24,디앤디파마텍,1.09%,"96,500","3,200",+3.43%,"2,923,037","88,900","97,700","88,700",-118.70,-49.03
25,현대로템,1.04%,"174,600","5,100",+3.01%,"633,329","171,000","176,600","170,600",27.51,21.85
26,삼성SDI,1.04%,"305,000",0,0.00%,"224,504","305,500","306,250","301,000",-41.78,3.13
27,한신공영,1.02%,"11,050","2,550",+30.00%,"3,651,333","8,500","11,050","8,480",9.52,0.89
28,바이젠셀,0.98%,"7,640",740,+10.72%,"5,599,280","6,450","8,480","6,120",-10.96,-21.71
29,휴림로봇,0.97%,"5,610",250,+4.66%,"11,830,348","5,380","5,660","5,250",207.78,-5.59
30,한국전력,0.92%,"51,000",100,+0.20%,"2,620,308","51,200","51,200","50,200",3.98,9.22
